,Leaf1,Leaf10,Leaf11,Leaf126,Leaf127,Leaf129,Leaf13,Leaf130,Leaf131,Leaf132,Leaf137,Leaf139,Leaf141,Leaf145,Leaf148,Leaf15,Leaf151,Leaf154,Leaf155,Leaf159,Leaf16,Leaf160,Leaf161,Leaf164,Leaf167,Leaf168,Leaf17,Leaf170,Leaf171,Leaf172,Leaf176,Leaf177,Leaf179,Leaf180,Leaf182,Leaf183,Leaf185,Leaf186,Leaf187,Leaf189,Leaf191,Leaf194,Leaf196,Leaf198,Leaf2,Leaf20,Leaf201,Leaf202,Leaf203,Leaf205,Leaf208,Leaf21,Leaf210,Leaf216,Leaf22,Leaf220,Leaf222,Leaf225,Leaf226,Leaf23,Leaf230,Leaf231,Leaf233,Leaf234,Leaf24,Leaf242,Leaf244,Leaf245,Leaf247,Leaf248,Leaf25,Leaf250,Leaf254,Leaf257,Leaf258,Leaf26,Leaf261,Leaf262,Leaf263,Leaf264,Leaf265,Leaf267,Leaf272,Leaf274,Leaf278,Leaf28,Leaf280,Leaf283,Leaf285,Leaf288,Leaf289,Leaf29,Leaf291,Leaf294,Leaf296,Leaf299,Leaf3,Leaf30,Leaf304,Leaf306,Leaf307,Leaf311,Leaf313,Leaf314,Leaf32,Leaf320,Leaf321,Leaf324,Leaf325,Leaf326,Leaf33,Leaf334,Leaf335,Leaf336,Leaf337,Leaf339,Leaf34,Leaf341,Leaf343,Leaf344,Leaf347,Leaf350,Leaf351,Leaf354,Leaf357,Leaf359,Leaf363,Leaf369,Leaf37,Leaf371,Leaf374,Leaf38,Leaf380,Leaf383,Leaf384,Leaf386,Leaf391,Leaf394,Leaf395,Leaf396,Leaf4,Leaf400,Leaf401,Leaf404,Leaf405,Leaf406,Leaf407,Leaf41,Leaf412,Leaf415,Leaf42,Leaf420,Leaf427,Leaf434,Leaf436,Leaf44,Leaf443,Leaf446,Leaf453,Leaf454,Leaf460,Leaf48,Leaf49,Leaf5,Leaf50,Leaf51,Leaf53,Leaf58,Leaf59,Leaf61,Leaf62,Leaf64,Leaf67,Leaf68,Leaf69,Leaf7,Leaf70,Leaf72,Leaf73,Leaf75,Leaf76,Leaf78,Leaf8,Leaf82,Leaf83,Leaf84,Leaf9,Leaf98
Leaf1,NaN,0.024497767,-5,0.390365835,-0.021192104,-5,-5,0.222609926,0.122479891,-0.188632505,-5,-5,0.32112776,-0.104662189,0.282467089,-1.14275724,0.138276964,0.062938576,-2.521493012,-5,0.347382207,-0.995567575,-5,0.063864525,-2.425850408,0.104586753,-0.684244019,-5,-0.004664055,0.143903223,-5,-5,0.024497767,-0.150362976,-0.466535215,0.099121393,0.140949559,0.243687054,-5,0.100858119,-5,-5,0.148649829,0.064689277,-5,0.258099934,-0.075993877,-2.614733929,-0.05497642,0.024497767,-1.162636428,-0.705566372,0.04349978,-5,0.208022713,0.153347362,-5,-0.933068708,-0.673032818,0.198948968,0.073357353,0.125762574,0.024497767,-0.05299304,-0.880020166,0.024497767,0.005575688,-5,-5,-5,0.15235128,0.021082875,0.006904282,-1.936539923,0.108965829,0.018796124,-5,-0.088103006,0.092712759,0.142786077,-5,-5,-5,-5,-0.53031673,0.003179968,0.128608882,0.027872043,-0.389175463,0.247148072,-0.155417617,-0.537751985,-0.141476268,-5,-5,-5,-0.505303693,-0.883286386,0.055079231,-2.111377515,-5,-2.449774182,-0.08691327,0.101170026,0.253634452,0.009982541,0.167276738,-5,-0.17426722,-5,0.238180747,-5,-0.083519832,0.024497767,0.382994753,-0.299077471,-5,-2.576237709,-0.964628981,-4.254311962,0.251010799,-0.070378152,0.021889621,-1.661153391,-5,-5,-0.434195284,0.159118959,0.024497767,-5,-0.67683232,-5,0.061760458,-5,-5,0.234844899,0.378267413,-0.163129428,-5,-5,0.064689277,-0.088640504,-5,-5,-0.936200167,0.139194794,-0.023570385,-5,-5,-5,0.12671468,0.07416398,-5,-5,0.018129239,-5,-5,0.113911283,-5,-5,-5,-5,0.038418784,0.064689277,-0.442756472,0.225434115,-2.073279651,-0.352409736,-5,0.024497767,0.165222974,0.153650596,0.182933035,-1.35871644,0.463787974,0.111327852,0.113607978,0.097422003,-0.384951343,0.024497767,-5,-5,-0.597238085,0.089194765,-4.861599119,-5,0.024497767,-2.51886502
Leaf10,-2.757252894,NaN,0.281139071,-5,0.400687443,-5,-5,-5,-0.531029284,-0.047377128,-0.095772119,0.128351039,-5,-2.575669686,0.458636561,-1.548442034,-5,-5,-2.39785761,-2.652459076,-0.159300479,-5,-2.380195052,0.484030043,-2.550299327,-5,-0.580939656,0.252680608,0.255353478,0.554733559,-0.511924196,-5,-0.737576378,-0.104086,-1.660218094,-5,-5,-1.039961543,-5,0.356145561,-5,-5,-5,0.281180476,-5,0.247522466,0.263873417,-3.102742459,0.242072555,0.281264362,0.267737189,-5,0.319901114,0.317983956,-5,0.4103654,-0.741893314,-5,-5,0.240539523,0.331650915,0.323107267,-0.131083112,0.092659282,-5,0.282262429,-5,-5,-5,-5,0.216600182,-5,-5,-1.660595244,0.329729173,-0.582063198,0.495611471,-5,0.469426411,-0.327287816,0.610898244,-5,-5,-5,-0.258854634,0.211832442,-5,-5,-5,-5,0.19869101,-0.157830145,0.051599525,-5,0.253879372,0.277797358,-0.242991646,-5,-5,-5,0.308590441,-2.574285068,0.276327146,-2.080647242,-0.666488328,0.318372835,0.334388693,-5,-2.818848231,-5,0.205881726,-0.053328413,-5,-0.46843349,0.32269577,-0.09941469,-0.410063285,-2.701292744,-0.792775634,-5,0.320971944,-5,0.340693593,-1.655178545,0.080421945,-5,0.1111649,-5,-1.569075205,0.586334792,-5,-5,-5,-5,-5,-5,-5,0.108021722,-4.662603116,-5,0.371686334,0.172558435,-5,-5,-0.755635103,0.222091984,-0.158917516,-5,0.106312914,-5,0.288189491,0.44848112,-5,-5,0.283088508,-5,-5,0.222621333,-5,-5,-5,-5,0.431551928,-5,0.127004837,-5,0.077799644,0.203701878,-5,-5,-5,-5,-5,-1.482916483,0.21641182,-5,-0.159245481,0.507834058,-5,-0.214499211,-5,-5,0.532921139,-0.132367339,-3.641800474,-5,0.241095903,0.67381467
Leaf11,-5,-5,NaN,-5,-5,-5,-5,-0.239957715,-5,-5,-5,0.055411568,-5,-2.195394178,-5,-2.820711483,-1.904264258,-1.006209467,-4.35916201,-5,-2.720265897,-5,-5,-1.016110994,-4.321717907,-2.474507852,-5,-2.742402901,-5,0.371814917,-0.769698555,-5,-5,-0.193008683,-2.985041604,-1.050094646,-5,-1.096490147,-5,-2.09123847,-5,-3.389593154,-5,-5,-2.907733662,-5,0.081747744,-4.254667264,0.229398486,-2.507254655,-3.51917849,-5,0.103767914,-1.38129012,-5,-5,-2.066908758,-5,-5,-4.988497581,-2.690016762,0.053926499,-5,0.017596999,-5,-2.505987275,-2.710806208,-2.001624926,0.01797345,-0.521912196,-1.617901518,-3.33821815,0.313832143,-5,-2.163074091,-1.808473134,0.396766119,-5,-0.245270109,0.110544688,-5,-5,-2.039869327,-5,-5,-2.786648115,0.065028248,-1.692810481,-2.323785168,-5,-2.814858813,-0.701479951,-2.213894379,-5,-2.138924656,-0.477428074,-5,-5,0.41420231,-5,-2.843411345,-4.125241352,0.06380515,-5,-3.099066995,-3.465160635,-3.761790497,-5,-0.001308725,-5,-5,-1.128117888,-5,-5,0.386838124,-5,-2.461142548,-4.450571639,-5,-5,-0.375774886,-0.990955691,-1.584823923,-3.145457986,0.035816898,-5,-5,0.122576977,-5,-1.879247081,-5,-2.178387058,-1.482187683,-5,-5,-0.410311094,0.44387466,-0.133755314,-5,-5,-5,-1.795218374,-5,-5,-1.079624583,-1.949184331,-1.494212119,-5,-0.017558057,-5,-5,-1.742994789,-5,-5,-1.966647074,-5,-5,-5,-5,-5,-5,-5,-0.551979697,0.090708844,-0.140238179,-1.795418541,-0.609947462,-0.150706546,-5,-5,-5,0.056718235,-5,-3.073615733,-3.02905693,-2.171938837,-2.93427267,0.460525636,-5,-3.418854688,-5,-5,-2.06350678,-2.616988831,-2.361978191,-5,-5,0.709740785
Leaf126,-5,0.23286914,0.358386965,NaN,-5,-5,-5,0.372624251,-5,0.278872703,0.552389637,-2.051377464,0.535337769,-1.792830339,0.375463914,0.670347066,-1.714737832,-0.552278583,-3.354199793,-5,0.358431554,-5,-1.254503392,-0.561367021,-3.399159987,0.059844776,-0.692655642,0.273904987,-5,-0.343774451,-0.28568591,0.684085801,-0.44381773,-0.209637395,-2.204473507,-0.813906648,0.286398319,-1.255931295,-5,-3.061811439,0.507223139,0.254976107,0.396695259,0.31130803,0.203733703,0.328958918,-0.103397388,-2.636247811,0.406438965,-0.830393389,-5,-0.714188989,0.365196933,-0.071687512,-1.198924626,-1.888044619,-2.795451011,-5,-1.708284984,-5,-1.294063214,-0.528626032,-5,-5,-0.626821048,-1.490085643,-2.584445521,-1.704948932,-2.193863559,-1.855039631,0.347612456,0.27691907,-1.940217115,0.474700955,-2.80288853,-1.289608458,-0.630170736,0.0532105,-1.146561112,-1.49288828,0.514749577,-5,-2.799251495,-5,0.668758825,-1.376133791,0.061704624,-2.254158338,-2.751369437,0.463635885,-1.773073993,0.357456093,-0.323476341,-0.813659234,-1.935620712,-1.999836478,-5,-1.464272665,-0.965055806,-5,-3.269801428,-3.38242329,0.192534346,-5,0.354531248,-1.343883958,-3.42585348,-5,-3.491164453,-0.575910427,0.125158119,-2.261858698,-5,-5,0.576061181,-1.246867868,-0.04775338,-3.408312329,-0.505766212,-5,-0.007526103,0.253462789,-1.552586371,-1.389581695,0.243387448,-5,-1.73387519,-0.323476341,0.118981395,-0.323476341,-5,-1.755974889,-1.437555632,-5,-3.204331569,-0.042806063,0.550206927,-0.132650171,-5,-5,-0.323476341,-2.118898982,-5,-5,-0.387462546,-1.912313888,0.342430473,-5,-0.464683202,-5,0.34098326,-1.95497306,-5,-5,-0.339264633,-5,-5,-0.503184888,-5,-5,-5,-5,-1.061659775,0.261357742,-0.206526496,-1.26591792,-2.2610545,-0.323476341,-5,-5,0.272566846,-2.754653716,0.250014185,-2.106906823,0.623993552,-2.917459311,-3.200254388,0.635934721,-0.679077563,-0.154198846,-5,-5,-1.585901615,-1.61103196,-5,-5,-0.21182702,0.656738295
Leaf127,-1.394894794,-1.784998191,0.419233681,0.283334492,NaN,-5,-2.327223959,0.068013184,-0.840850654,0.088575889,0.526312655,0.265116562,0.396248161,-0.332647079,0.380539769,0.426073072,0.379572036,0.363613863,-0.069864885,-1.399380674,0.41956568,0.078491119,-1.370774197,0.363613932,-0.039901407,-5,-0.501259308,-5,-1.407869689,-5,0.290075217,-1.859348445,-0.278811843,-0.148632208,0.149872904,-5,-5,0.435204004,0.0610576,0.191207146,0.286188885,-5,0.245478297,-1.722676283,-0.003599728,0.423336354,-0.225390683,-2.223708482,0.241671162,0.337839709,0.348125997,-0.465609239,0.267974331,0.289570271,0.39064186,0.115375934,-5,-0.85340731,-0.954340625,0.390290642,0.055767603,0.358994569,-0.050373794,-5,-0.355872197,0.316486499,-5,-5,0.101368571,-5,0.291473176,0.232245906,0.363625693,0.476834124,0.27829147,-0.840850654,0.548796797,0.534816077,0.414720085,0.380679565,0.318018748,-0.042566277,0.157238943,0.317251393,-1.424752944,0.116966656,0.11542003,0.310197635,0.436452053,0.403330159,-0.480319358,0.413285496,0.089739685,0.320305591,0.312248399,0.301005063,-0.663937779,-0.954193626,0.395025683,-3.120258315,0.394423383,0.542537717,0.15240317,-0.149569979,0.41874132,0.262664922,0.134306476,-1.896557595,0.074790507,0.477518952,0.303133666,-5,0.238013307,-0.742931984,0.398766818,-0.45146857,0.388546842,-3.211591488,-1.414202624,-0.918132618,0.148781856,-5,0.347643982,0.439924477,0.235434012,-5,-5,0.347968866,-1.960567039,0.438370973,-1.727573265,0.218153374,0.263468781,-2.253855247,-0.863248779,0.532793741,0.575102845,-0.282318442,-2.711522897,-1.704975213,0.274899905,-0.494996753,-1.779089066,-5,-0.942478527,0.287651426,0.275078488,-5,0.257518403,-2.548862276,0.282989462,0.437061407,-3.125453622,-1.403081041,0.383468092,0.063340666,-2.92600411,0.348949691,0.541017293,-3.02702105,-3.01948351,-5,-5,0.338672263,0.351508388,0.370986506,0.029505201,0.210219302,-5,-4.329746851,0.390512241,0.304520758,0.348140424,-2.10920094,0.404440964,0.080852475,0.018968557,-5,0.169053647,-0.185956159,0.116589974,0.289373186,0.478836456,-5,-4.630089916,0.317560182,0.396935257,0.031448193
Leaf129,0.767760956,0.678546064,0.765718476,0.739042636,0.730874892,NaN,0.768359269,0.227741431,0.401037878,0.817100294,-5,0.659390803,0.845454665,-4.101340161,0.846041426,0.796027902,-1.465520889,-0.883198864,-4.094763653,-0.011566682,0.761531625,-5,0.101729601,-0.893915375,-4.124489173,0.379960997,0.728022966,0.817558074,0.742018801,-0.428908767,-1.040077096,0.606263609,0.401037878,0.258846586,0.109081715,-1.270938321,-0.66581294,-1.670822164,-5,-2.43846308,0.614212443,0.755295537,-5,0.727891689,0.320050034,0.730903284,-0.382547877,0.858765037,0.712724591,0.727802401,0.727824122,0.730978537,0.736602205,0.61676356,0.730978537,-1.349216133,0.055338434,0.322553428,0.401037878,0.7300731,-5,0.443022713,0.476477511,-5,0.401037878,0.730817401,-0.044155673,0.401037878,0.328793101,0.401037878,0.738764671,0.755693074,0.401037878,0.91073308,0.628973846,0.200461842,-1.126743366,0.893671779,-0.740941029,-0.009964846,-5,0.35536941,0.401037878,-5,0.912918745,0.726518016,0.37889321,-1.088741562,0.749535597,0.790303655,0.401037878,0.760194437,0.401037878,-0.752602075,0.401037878,0.401037878,0.401037878,0.401037878,0.823588776,0.401037878,0.747332453,0.827047625,0.495835247,0.82662519,0.761531625,0.091775162,0.143166022,-5,0.730010278,0.862127724,0.459907117,0.731321097,0.64153536,0.848185564,0.847426842,0.401037879,0.828588284,-4.114370764,0.401037878,-5,0.887609252,0.446075914,0.106199711,-3.152214875,0.199661673,-5,0.627245263,-1.267488769,0.298394467,0.376114492,0.746912816,0.667448385,-2.004698856,-5,-5,0.894850065,0.912288837,-0.081963191,-5,0.073465438,0.474133839,0.044346027,0.235106769,-5,-1.82190056,0.401037878,0.731159446,-5,0.757530708,-5,-5,0.401037879,-5,0.407887393,-0.026454753,-5,-5,-0.154393371,0.827047625,0.703026744,-5,-5,-1.033259285,0.736653489,-0.804058864,-1.97409406,-2.512590766,-2.140505061,-5,0.401037878,0.730954754,0.761523811,0.727820971,-3.064967168,0.828703124,0.32858783,0.070692677,-0.469865943,-5,0.145961203,-5,-5,0.733357889,-1.876230884,0.177644221,-5,0.738814282,0.664549027
Leaf13,0.3415117,0.371179505,0.371013231,0.383704095,0.122205274,-5,NaN,0.095850508,-0.03815499,0.296486006,0.412488244,0.217285663,0.412131047,-2.534656486,0.411118715,-0.536731599,-5,0.334530832,-3.294709669,0.308408465,0.472176558,0.247900406,0.436849907,0.334530832,-2.696112379,0.0881596,0.415108231,-5,0.337009745,0.333016001,-1.226811627,0.484197927,0.351687741,-0.320927398,-0.377563977,-5,-5,0.369244154,-5,0.382350198,0.458001796,-5,-5,0.321369415,0.041907242,-5,-0.067584821,-2.873127441,0.340144597,0.290356831,0.328327272,0.418923551,-5,0.307292737,0.418917356,0.216203634,-5,0.172537332,0.385197147,0.371013759,0.399083511,0.32297987,0.319833183,0.300178942,0.328572737,0.290186737,0.260804651,-5,0.103759095,0.282342941,-5,0.184844524,0.280299744,0.456986694,0.269218413,0.311566013,0.40396856,6.25E-05,0.369491266,0.237152287,0.391632807,0.249986651,-5,0.319444125,0.421262476,0.238803056,0.063434236,0.249405091,0.198232208,0.370800243,0.316043003,0.472163635,0.290594316,-5,0.270734876,-5,-0.038154989,0.328563203,-5,-3.06645798,0.14572325,0.477877701,0.057509062,0.292383267,0.418913061,-5,-2.741408374,-5,-1.72589171,0.346209957,0.308022814,-5,-5,0.371547993,0.407696465,0.36420971,0.387975479,-3.791207972,0.302661232,-0.046933925,0.423637055,-5,-5,0.406995217,0.268866274,-5,0.285461397,0.25972242,0.303615619,-5,0.234383467,0.199833787,-5,-2.827028128,-3.764873457,0.380821424,0.419010761,-0.175813487,-5,-0.048492154,0.456360861,-0.006080385,0.003592091,-5,0.033323126,-0.198645972,0.363003748,-5,-5,-4.490689852,0.377857506,0.414592353,-3.071462894,0.493727593,0.264291654,-2.997310086,-2.704475181,0.312886279,0.393919334,-4.242998225,-3.019450596,-5,0.281899391,0.329348993,-0.120839503,0.351828598,-0.927933927,0.235220761,-2.498688557,-0.417926989,0.347201668,0.357469028,0.376542324,-2.035762467,0.460523531,-5,0.020078635,0.288589508,0.371097814,0.276410617,0.480882453,0.407367506,0.318368353,-5,-5,0.475066162,0.371046882,0.520064142
Leaf130,-4.113503615,-5,1.084335671,-4.305423813,-2.94265122,-2.713496495,-4.799570773,NaN,-2.643319081,-5,1.462840733,0.300388503,1.781173898,-2.01669977,-2.618462076,0.45085488,0.114618673,0.726558023,-2.516002622,-5,0.947219046,-5,-4.213875704,0.716657212,-2.410989758,-3.003410572,1.889554015,-1.531408045,-5,1.242119982,1.281271456,-5,-5,-0.771541839,0.070169779,1.109320344,-5,-1.804973874,-5,-5,-5,-3.685081954,-5,-3.77036951,-5,2.286926503,-1.784821829,-0.326488949,0.006705659,0.835675083,-2.410323477,-3.658009218,0.261957619,0.006576216,1.241206868,-0.217983579,-5,-2.222345231,1.18401139,2.135214385,-2.769753235,-5,-5,1.18209539,1.32430709,0.79652241,-5,0.300441613,-0.089431621,0.742078152,0.536241987,-5,-0.137580187,-5,0.76534844,-5,1.231398603,1.984652674,0.290122192,0.504275122,1.627373795,-4.689736421,0.271758985,-5,-5,-2.964219199,-1.689091,0.694973135,1.072363433,2.002559719,-5,-3.99747255,0.799149516,-5,0.64646541,0.753910952,-3.834061681,1.399283813,1.052113515,-5,-5,-2.379996664,0.720470883,-5,0.740856559,-4.183932559,-2.375201289,-5,-5,0.997255836,1.870614549,0.850437359,-5,-5,1.384277841,-3.962267991,-5,-1.913721195,-5,-5,1.315905146,0.713940783,0.811233035,0.90200252,-1.718485665,-5,-3.75361201,0.00566763,-2.282077569,-0.24815722,-5,1.004222837,0.579898852,-5,-5,-5,2.136963298,-0.108819415,-4.03994816,-2.181712656,2.348734064,-2.744067839,-5,-5,-5,0.625817789,-5,-5,-0.264033122,-5,-4.055530453,-0.088852063,-4.723376512,-5,0.027288825,-4.263041865,2.484496766,-0.184579812,-5,-5,-4.451828141,-1.202635897,0.83471724,-5,1.449331839,-2.141170644,-2.768048846,-5,-5,-4.526013601,2.245140093,-3.42987924,2.175212804,-5,1.492183747,-2.041728451,-2.676878875,1.175487695,-5,-4.329070066,-5,1.723979283,-1.133357874,0.324354811,-5,-5,-5,-2.467328608
Leaf131,-2.83397834,-0.871231265,0.121198399,0.280562439,-0.412257234,-1.448695783,-1.446707701,0.196413474,NaN,0.047239764,0.09703502,-0.003233066,0.128408688,-0.002493872,-0.003717446,0.495446432,-5,-5,-0.301361603,-2.948952117,0.180154532,0.201298324,-2.80499195,-5,-0.067324759,-5,-0.61643138,0.104822949,-3.093610925,-5,0.213617561,0.24561213,-0.635050411,-0.14649536,-0.620850356,0.350553457,0.035430021,0.386098294,-5,0.116329388,0.410891441,-5,0.084363095,0.147870311,0.120002681,0.154606002,-0.027006212,-0.9907554,-0.076209477,-0.117272317,0.167534913,-0.980015411,-0.163550026,0.098424967,0.118201069,0.19124845,0.093485592,-4.79142119,-0.606379573,0.078176535,-0.22207081,-0.147570613,-0.352318787,-5,-0.778634216,-0.06419333,0.015686584,-5,-5,-5,0.061427559,0.047963022,-5,0.440625143,0.259046967,-0.71125381,0.189304445,0.010543489,-5,0.066568887,0.491567235,0.385319219,0.165262197,0.231297519,-2.515384067,-0.357031066,-5,0.018644766,0.225884979,0.110603663,-1.428913539,0.178793005,-0.174136369,0.043608147,-0.029597639,-0.005843252,-0.463011068,-0.727712971,0.321676966,-0.741689261,-5,-0.649392914,0.104626534,-2.489779627,0.112057945,-0.035380147,-0.360436767,-5,-0.226351597,-5,0.150764641,-5,-5,-3.91926536,0.115810483,-0.704058159,0.294333408,-1.62149284,-2.650834067,-0.247321028,0.102390614,-5,-0.114879776,0.324056045,0.093161409,-5,-0.392173658,0.023636423,-1.067725039,0.23953008,-5,-0.022354754,0.185399948,-1.104420441,-1.253613409,-0.659611217,0.382180199,0.004236519,-3.477439333,-3.781397003,0.182875502,0.068373923,-5,-5,-0.024016288,-0.019462881,0.155692933,-5,-5,-0.791957128,0.081348706,-5,-0.351122387,0.219001883,0.129751788,-0.085121008,-0.312818164,0.038816792,0.324615384,-0.700571192,-0.716342654,-1.203689286,-0.005959958,0.115387106,0.300769106,0.230690237,-0.084733203,0.42100652,-1.236328192,-5,0.118045769,0.107218974,0.116338383,-0.553243176,0.140712271,0.152168354,0.067836204,0.140683972,0.419207186,-0.429682031,0.160162883,0.372876606,0.331546636,-5,0.371359413,0.450816429,0.040729236,0.15626964
Leaf132,-1.465710644,-1.428417493,0.385025229,-5,-2.044819248,-5,-5,-5,-2.747186233,NaN,0.575562699,0.160600002,-0.40017603,-0.037528285,0.394019292,0.768581991,-5,-5,-0.008820823,-2.147517796,0.421713129,-5,0.054171994,0.236336164,0.152996748,-5,0.397994514,-0.02532461,0.054171994,-5,-5,-3.381514088,0.432416547,-0.131797018,-5,-5,-5,-5,-0.002840986,-5,-0.58030824,0.072341302,-5,-1.448937477,0.221160783,0.514240345,0.033309661,-0.815080554,0.267220842,-5,0.262216623,0.054171994,0.289384573,-5,-1.176190406,0.483279468,-5,-2.349304853,0.054171994,0.441922485,0.393450941,0.281311225,0.224026387,-5,-1.448937477,0.320645204,-5,-5,-5,0.293337572,0.319519661,-5,0.421653091,-1.719152014,-5,-1.159383554,-5,-5,-5,0.331570722,0.880132334,0.054171994,-5,0.054171994,-1.306880988,0.238113061,-5,-5,-5,0.054171994,0.174326954,-1.026641528,-5,-5,-5,-5,0.044132519,0.054171994,0.245505915,-1.448937477,-5,0.096816414,0.124954581,-1.676338412,0.402942155,0.398573087,0.402648678,-2.424755337,-0.136108912,0.078310205,-5,0.148300347,-5,-1.983123935,0.549159598,-5,-5,-0.077457412,-1.448937477,-4.664668072,0.128567784,-5,-5,0.309679851,-5,0.387300388,0.103369662,0.322890753,-1.273300711,-5,-4.644475697,-5,-5,-5,-5,0.427097067,0.558056555,-0.099784106,-3.627488655,-2.409558023,0.500702124,-0.038432493,-2.383864836,-0.060085256,-0.540183464,-5,0.321717856,-5,0.101812958,-2.433552964,0.371332381,-5,-5,-2.386147526,0.475993311,-3.989380147,-1.448937477,0.416084473,-5,-2.003765841,-4.55903119,-4.780995908,0.40652771,-5,0.383349366,0.392998065,0.514876265,0.609303855,-2.747279852,-5,0.360645222,-5,-5,0.15284747,0.666165919,-5,-5,0.264387051,-0.100462104,0.563582807,-5,-5,0.314341173,0.18042727,-5,-5,-1.710598091,0.534767643
