coku,probe,group,mean_rbm,sd
KB1YL2,KB1,co,1.176140596,0.269310869
KB1I48,KB1,co,0.817898105,0.404310175
KB1KB18,KB1,co,1.94499867,0.701581002
KB1I49,KB1,co,0.781603042,0.501591257
KB1YL27,KB1,co,1.778233754,1.345794096
KB1YL58,KB1,co,0.903218034,0.332876821
KB1YL31,KB1,co,1.934704689,1.090124794
KB1YL32,KB1,co,1.286248257,0.235460599
KB1 Mono,KB1,mono,1,0
KB1YL44,KB1,co,1.844828976,0.914925897
KB1YL45,KB1,co,1.292322769,0.104988537
KB1I46,KB1,co,3.231598709,0.704971339
YL2KB1,YL2,co,0.022510382,0.020560307
YL2YL32,YL2,co,0.408789741,0.365823817
YL2 Mono,YL2,mono,1,0
YL2YL44,YL2,co,0.338795452,0.536844663
YL2YL45,YL2,co,0.369695565,0.444006003
YL2I46,YL2,co,0.226106316,0.11036778
YL2I48,YL2,co,0.413870629,0.350159374
YL2KB18,YL2,co,1.16458098,0.498115501
YL2I49,YL2,co,0.825702372,0.996104123
YL2YL27,YL2,co,0.585745829,0.054548012
YL2YL58,YL2,co,0.126602455,0.095200106
YL2YL31,YL2,co,0.639155901,0.550669386
KB18I49,KB18,co,0.979452523,0.714799982
KB1KB18,KB18,co,0.000774247,0.001152244
KB18YL27,KB18,co,0.015127937,0.02610869
KB18YL58,KB18,co,0.004971663,0.008536612
KB18YL31,KB18,co,0.468392129,0.187604986
KB18YL32,KB18,co,5.08E-05,4.43E-05
KB18 Mono,KB18,mono,1,0
KB18YL44,KB18,co,0.374313075,0.0897984
YL2KB18,KB18,co,0.059580052,0.103195678
KB18YL45,KB18,co,0.000247825,0.000154943
KB18I46,KB18,co,0.036789649,0.036952538
KB18I48,KB18,co,9.33E-05,8.23E-05
YL27I46,YL27,co,0.09793662,0.092813029
KB18YL27,YL27,co,0.880372351,0.305939704
YL27I48,YL27,co,0.014265802,0.010783042
KB1YL27,YL27,co,0.000860964,0.00148744
YL27I49,YL27,co,0.368691578,0.092797332
YL27YL58,YL27,co,5.17E-05,3.93E-05
YL27YL31,YL27,co,0.736394384,0.062999111
YL27YL32,YL27,co,0.127828885,0.045956729
YL27 Mono,YL27,mono,1,0
YL2YL27,YL27,co,0.149469257,0.084260659
YL27YL44,YL27,co,1.064835936,0.502498649
YL27YL45,YL27,co,0.194170001,0.023135248
YL31YL45,YL31,co,0.990885578,0.538650848
YL31I46,YL31,co,0.255911665,0.084781073
KB18YL31,YL31,co,1.258508582,0.754286473
YL31I48,YL31,co,0.847496105,0.642642719
KB1YL31,YL31,co,0.348626236,0.198420376
YL31I49,YL31,co,0.461231416,0.173234714
YL27YL31,YL31,co,1.073651959,0.99924377
YL31YL58,YL31,co,0.00878175,0.013533739
YL31YL32,YL31,co,0.157594024,0.059795652
YL31 Mono,YL31,mono,1,0
YL2YL31,YL31,co,0.518808483,0.474968974
YL31YL44,YL31,co,0.687965615,0.417193546
YL2YL32,YL32,co,0.216703561,0.188217725
YL32YL45,YL32,co,0.517367974,0.446466252
YL32I46,YL32,co,0.282031458,0.244492418
YL32I48,YL32,co,0.672384888,0.582943067
KB18YL32,YL32,co,0.535925293,0.503914582
YL32I49,YL32,co,0.315444697,0.272491333
KB1YL32,YL32,co,0.109146115,0.099818965
YL32YL58,YL32,co,0.278238537,0.031060673
YL27YL32,YL32,co,0.789407952,0.682475066
YL31YL32,YL32,co,0.312934467,0.540522101
YL32 Mono,YL32,mono,1,0
YL32YL44,YL32,co,0.506492684,0.437533849
YL44I46,YL44,co,0.000890944,0.000249931
YL2YL44,YL44,co,0.003731496,0.00336988
YL44I48,YL44,co,0.000428004,0.00022478
YL44I49,YL44,co,0.003222351,0.002145327
YL44YL58,YL44,co,0.004046036,0.002513386
KB18YL44,YL44,co,0.964917309,0.332522025
KB1YL44,YL44,co,0.000453736,0.000260185
YL44 Mono,YL44,mono,1,0
YL27YL44,YL44,co,0.01134503,0.011508703
YL31YL44,YL44,co,0.692831416,0.26649597
YL32YL44,YL44,co,0.001955502,0.001724498
YL44YL45,YL44,co,0.737581091,0.216316837
YL45I49,YL45,co,1.344650972,0.307852141
YL31YL45,YL45,co,0.919158347,0.079434673
YL32YL45,YL45,co,0.70059886,0.039292913
YL45YL58,YL45,co,0.646539694,0.429898636
YL2YL45,YL45,co,0.641501998,1.042949793
YL45 Mono,YL45,mono,1,0
KB18YL45,YL45,co,1.653830393,0.451424868
KB1YL45,YL45,co,0.499191217,0.25632053
YL45I46,YL45,co,0.459209452,0.02340588
YL27YL45,YL45,co,1.605125436,0.302639431
YL44YL45,YL45,co,0.820163969,0.113979406
YL45I48,YL45,co,1.006738202,0.383242459
I46 Mono,I46,mono,1,0
YL27I46,I46,co,1.398960158,0.524194337
YL44I46,I46,co,0.944143239,0.78440989
YL31I46,I46,co,1.029452467,0.457896866
YL32I46,I46,co,1.130058296,0.682880305
YL2I46,I46,co,0.603182213,0.484359357
I46I48,I46,co,0.852299388,0.323728547
I46I49,I46,co,0.912018766,0.359118106
I46YL58,I46,co,0.254437377,0.091295192
KB18I46,I46,co,1.087800697,0.427098237
YL45I46,I46,co,1.220669463,0.310429925
KB1I46,I46,co,0.029955119,0.012822166
KB1I48,I48,co,0.046525604,0.016258705
I48I49,I48,co,1.062173923,0.141480663
YL27I48,I48,co,0.982214813,0.294308756
YL44I48,I48,co,0.843263149,0.591114159
I48YL58,I48,co,0.343543111,0.085064388
YL31I48,I48,co,0.826327922,0.353649009
YL32I48,I48,co,0.823882874,0.414294451
I46I48,I48,co,0.302885102,0.046033739
I48 Mono,I48,mono,1,0
YL2I48,I48,co,0.550473272,0.498737949
KB18I48,I48,co,1.141453782,0.277611618
YL45I48,I48,co,1.011008871,0.405546081
YL45I49,I49,co,0.811408165,0.503145874
KB18I49,I49,co,1.243577586,0.777338003
I48I49,I49,co,0.051597147,0.015946682
KB1I49,I49,co,0.001510465,0.001728698
YL27I49,I49,co,0.29361472,0.348723322
YL44I49,I49,co,0.616189512,0.429642903
YL31I49,I49,co,2.39E-06,3.84E-07
YL32I49,I49,co,0.548240646,0.398400083
I46I49,I49,co,0,0
I49YL58,I49,co,0.000114001,0.000163541
YL2I49,I49,co,0.168491094,0.284999915
I49 Mono,I49,mono,1,0
YL45YL58,YL58,co,0.654168979,0.132341461
YL58 Mono,YL58,mono,1,0
KB18YL58,YL58,co,0.657105857,0.101966011
I48YL58,YL58,co,0.713702039,0.04118076
KB1YL58,YL58,co,0.179237059,0.05688085
YL27YL58,YL58,co,0.793095793,0.057473275
